IP,Country,class
14.185.8.12,VN,anomaly
14.185.88.87,VN,anomaly
14.187.158.255,VN,normal
14.187.176.54,VN,anomaly
14.187.3.212,VN,anomaly
14.187.75.137,VN,anomaly
14.188.243.58,VN,anomaly
14.190.30.128,VN,anomaly
14.192.13.218,PH,normal
14.192.208.107,MY,anomaly
14.192.209.168,MY,normal
14.192.210.16,MY,normal
14.192.210.189,MY,anomaly
14.194.154.196,IN,normal
14.194.215.225,IN,anomaly
14.194.217.18,IN,normal
14.194.71.76,IN,anomaly
14.195.174.98,IN,anomaly
14.195.61.237,IN,anomaly
14.201.120.189,AU,anomaly
14.201.205.48,AU,anomaly
14.201.54.90,AU,anomaly
14.201.82.6,AU,anomaly
14.202.24.50,AU,anomaly
14.203.179.14,AU,anomaly
14.207.143.142,TH,normal
14.207.208.130,TH,anomaly
14.207.225.50,TH,anomaly
14.207.62.3,TH,normal
14.219.222.86,CN,normal
14.28.165.142,CN,anomaly
14.28.51.88,CN,normal
14.28.51.88,CN,anomaly
14.28.54.86,CN,normal
14.28.54.86,CN,anomaly
14.28.56.74,CN,anomaly
14.28.63.205,CN,anomaly
14.28.8.185,CN,anomaly
14.43.102.31,KR,anomaly
14.49.187.105,KR,normal
14.63.196.83,KR,normal
14.64.22.195,KR,anomaly
14.96.180.204,IN,normal
14.96.181.14,IN,normal
14.96.6.46,IN,normal
14.97.35.111,IN,normal
14.97.72.179,IN,normal
14.98.137.230,IN,anomaly
14.98.176.156,IN,anomaly
14.98.62.191,IN,normal
14.99.108.221,IN,normal
14.99.143.4,IN,normal
14.99.146.228,IN,normal
15.195.185.85,US,anomaly
17.64.76.221,US,anomaly
17.82.99.109,US,anomaly
23.104.161.155,,anomaly
23.104.161.172,,normal
23.104.161.77,,anomaly
23.104.184.112,,normal
23.104.184.143,,normal
23.104.184.203,,normal
23.104.184.239,,normal
23.104.184.253,,anomaly
23.104.184.62,,normal
23.104.184.62,,anomaly
23.104.184.72,,anomaly
23.104.184.90,,normal
23.104.209.82,,normal
23.105.136.95,,normal
23.105.142.193,,anomaly
23.105.145.228,,normal
